benchmark,num_states,horizon,m,epsilon,class_count,total_histories,compression_ratio,method,num_samples,cache_time_s,instance_seed
random_pomdp_100,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.3405,7.0
random_pomdp_100,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
